Event,Start Time,End Time,Duration (milliseconds)
Program Start,2025-01-22 17:13:46.510,,
First Relaxation Start,2025-01-22 17:13:46.513,,
First Relaxation End,2025-01-22 17:13:46.513,2025-01-22 17:13:49.147,2634
