Event,Start Time,End Time,Duration (milliseconds)
Program Start,2025-02-24 14:25:48.071,,
Final Relaxation Start,2025-02-24 14:25:48.075,,
Final Relaxation End,2025-02-24 14:25:48.075,2025-02-24 14:25:51.696,0
