Event,Start Time,End Time,Duration (milliseconds)
Program Start,2025-01-22 14:52:13.640,,
Final Relaxation Start,2025-01-22 14:52:13.644,,
Final Relaxation End,2025-01-22 14:52:13.644,2025-01-22 14:52:17.102,0
Program End,2025-01-22 14:52:13.640,2025-01-22 14:52:17.791,4151
