Event,Start Time,End Time,Duration (milliseconds)
Program Start,2025-01-22 15:21:39.465,,
First Relaxation Start,2025-01-22 15:21:39.468,,
First Relaxation End,2025-01-22 15:21:39.468,2025-01-22 15:21:43.566,4098
