Event,Start Time,End Time,Duration (milliseconds)
Program Start,2025-01-22 17:18:13.015,,
First Relaxation Start,2025-01-22 17:18:13.018,,
First Relaxation End,2025-01-22 17:18:13.018,2025-01-22 17:18:16.357,3339
Video Feedback Start,2025-01-22 17:18:16.392,,
