Event,Start Time,End Time,Duration (milliseconds)
Program Start,2025-02-24 14:35:49.356,,
Final Relaxation Start,2025-02-24 14:35:49.359,,
Final Relaxation End,2025-02-24 14:35:49.359,2025-02-24 14:35:52.131,0
