Event,Start Time,End Time,Duration (milliseconds)
Program Start,2025-01-22 15:22:50.024,,
First Relaxation Start,2025-01-22 15:22:50.027,,
First Relaxation End,2025-01-22 15:22:50.027,2025-01-22 15:22:52.748,2720
