Event,Start Time,End Time,Duration (milliseconds)
Program Start,2025-02-13 11:01:47.396,,
First Relaxation Start,2025-02-13 11:01:47.398,,
First Relaxation End,2025-02-13 11:01:47.398,2025-02-13 11:01:51.336,3937
